"Reward information","Reward information"
"Account Balance","Account Balance"
"Change Balance","Change Balance"
"Email notification","Email notification"
"Transactions history","Transactions history"
"Customer Reward","Customer Reward"
"ID","ID"
"Title","Title"
"Notice","Notice"
"Spent","Spent"
"Create at","Create at"
"Expiration date","Expiration date"
"Expired","Expired"
"No","No"
"Yes","Yes"
"Store view","Store view"
"Customer behavior earning","Customer behavior earning"
"Earning Configuration","Earning Configuration"
"Earning Points Action","Earning Points Action"
"Action","Action"
"Give X points to customer","Give X points to customer"
"Give X points for every Y amount of Price","Give X points for every Y amount of Price"
"Give X points for every Y amount of Profit","Give X points for every Y amount of Profit"
"select the type to earn points","select the type to earn points"
"Max points earned by this rule","Max points earned by this rule"
"empty or zero is unlimited","empty or zero is unlimited"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Example actions","Example actions"
"Conditions","Conditions"
"Example conditions","Example conditions"
"General information","General information"
"Rule Name","Rule Name"
"Description","Description"
"Description of your rule shows in Reward Information page","Description of your rule shows in Reward Information page"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Websites","Websites"
"Customer groups","Customer groups"
"Validate from","Validate from"
"From date","From date"
"Validate to","Validate to"
"To date","To date"
"Priority","Priority"
"Higher priority Rule will be applied first","Higher priority Rule will be applied first"
"Catalog Earning Rule Information","Catalog Earning Rule Information"
"General Information","General Information"
"Actions","Actions"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Save And Continue Edit","Save And Continue Edit"
"Edit Rule ","Edit Rule "
"Add Rule","Add Rule"
"Website","Website"
"Customer Groups","Customer Groups"
"Points","Points"
"Date start","Date start"
"Date Expire","Date Expire"
"Edit","Edit"
"Catalog Earning Rule Manager","Catalog Earning Rule Manager"
"Give X points to Customer","Give X points to Customer"
"Give X points for every Y money spent","Give X points for every Y money spent"
"Give X points for every Y qty purchased","Give X points for every Y qty purchased"
"Apply To","Apply To"
"Shopping Cart Earning Rule Information","Shopping Cart Earning Rule Information"
"Shopping Cart Earning Rule Manager","Shopping Cart Earning Rule Manager"
"Commission for Referrals","Commission for Referrals"
"Fixed","Fixed"
"Percentage","Percentage"
"Type","Type"
"Value","Value"
"Points or Percent of Value referred","Points or Percent of Value referred"
"Discount for invited Friends","Discount for invited Friends"
"Discount","Discount"
"Reward point","Reward point"
"Only works when Coupon method is disable","Only works when Coupon method is disable"
"Fixed/Percentage","Fixed/Percentage"
"Show Discount in","Show Discount in"
"Only apply for Discount type ","Only apply for Discount type "
"Cart Page","Cart Page"
"Product View Page","Product View Page"
"Root","Root"
"Image","Image"
"Recommend 200px-width image","Recommend 200px-width image"
"Coupon code Pattern","Coupon code Pattern"
"Uses per Coupon","Uses per Coupon"
"0 is unlimited","0 is unlimited"
"Uses per Customer","Uses per Customer"
"Name","Name"
"Attrib. Set Name","Attrib. Set Name"
"Visibility","Visibility"
"SKU","SKU"
"Price","Price"
"Offer Information","Offer Information"
"Categories","Categories"
"Products","Products"
"Save Offer","Save Offer"
"Delete Offer","Delete Offer"
"Edit Offer ","Edit Offer "
"Add Offer","Add Offer"
"Customer Group IDs","Customer Group IDs"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Offer Manager","Offer Manager"
"Earning Rate information","Earning Rate information"
"Spending Rate information","Spending Rate information"
"Type to earn points","Type to earn points"
"Money spent for order","Money spent for order"
"Number of unique clicks to customer link","Number of unique clicks to customer link"
"Number of visits to customer link","Number of visits to customer link"
"Number of Money/Click/Visit","Number of Money/Click/Visit"
"E.g. If ","E.g. If "
"Points earned","Points earned"
"E.g. When ","E.g. When "
"Points spent","Points spent"
"Direction","Direction"
"Discount received","Discount received"
"value equivalent points","value equivalent points"
"Higher priority Rate will be applied first","Higher priority Rate will be applied first"
"Rate Information","Rate Information"
"Earning Rate Information","Earning Rate Information"
"Spending Rate Information","Spending Rate Information"
"Save Rate","Save Rate"
"Delete Rate","Delete Rate"
"Edit Rate ","Edit Rate "
"Add Rate","Add Rate"
"From","From"
"Money/#Clicked","Money/#Clicked"
"Spend To","Spend To"
"Get discount","Get discount"
"Earning Rates Manager","Earning Rates Manager"
"Add Earning Rate","Add Earning Rate"
"Spending Rate Manager","Spending Rate Manager"
"Add Spending Rate","Add Spending Rate"
"Customer","Customer"
"Balance","Balance"
"Earned Points","Earned Points"
"Spent Points","Spent Points"
"Discount for using points","Discount for using points"
"Use-points Order Total","Use-points Order Total"
"CSV","CSV"
"XML","XML"
"Excel XML","Excel XML"
"Report Customer","Report Customer"
"Date","Date"
"Total Earned Points","Total Earned Points"
"From order","From order"
"From admin update","From admin update"
"From sign-up","From sign-up"
"From poll","From poll"
"From review","From review"
"From others","From others"
"Report Earned points","Report Earned points"
"Average value per point","Average value per point"
"Your average value per point is: ","Your average value per point is: "
"The average value of each point spent","The average value of each point spent"
"Cost of loyal member","Cost of loyal member"
"Your cost of loyal member is: ","Your cost of loyal member is: "
"The average cost for each loyal member","The average cost for each loyal member"
"Sign-up","Sign-up"
"This graph shows sources that Customers earn points.","This graph shows sources that Customers earn points."
"Order","Order"
"Admin","Admin"
"Signup","Signup"
"newsletter","newsletter"
"Vote","Vote"
"review","review"
"Rest","Rest"
"This graph tells you how many points are spent for every 100 points rewarded.","This graph tells you how many points are spent for every 100 points rewarded."
"Number of Orders","Number of Orders"
"Total Spent Points","Total Spent Points"
"Report Order","Report Order"
"Points Per Order","Points Per Order"
"# Points","# Points"
"# %s","# %s"
"Number of loyal members","Number of loyal members"
"Points Earned and Spent","Points Earned and Spent"
"Average order size vs. average points earned from order","Average order size vs. average points earned from order"
"Store Sign-ups","Store Sign-ups"
"Newsletter Subscription","Newsletter Subscription"
"Product Review","Product Review"
"Earned","Earned"
"This report shows the number of points Customers earn vs. the number of points they spend.","This report shows the number of points Customers earn vs. the number of points they spend."
"# Members","# Members"
"This graph shows the number of loyal members in your store over time","This graph shows the number of loyal members in your store over time"
"Subscriptions","Subscriptions"
"# Points Amount","# Points Amount"
"This report shows the number of points rewarded to Customers for subscribing your newsletter vs. the number of new newsletter subscriptions.","This report shows the number of points rewarded to Customers for subscribing your newsletter vs. the number of new newsletter subscriptions."
"Reviews","Reviews"
"This report shows the number of points rewarded to Customers for writing product reviews at your store vs. the number of new reviews.","This report shows the number of points rewarded to Customers for writing product reviews at your store vs. the number of new reviews."
"Signups","Signups"
"This report shows the number of points rewarded to Customers for signing up your store vs. the number of new sign-ups created.","This report shows the number of points rewarded to Customers for signing up your store vs. the number of new sign-ups created."
"Report Spent points","Report Spent points"
"Actions information","Actions information"
"Earn points","Earn points"
"if more than one rule, the rule with larger Priority will be treated before","if more than one rule, the rule with larger Priority will be treated before"
"Rule Information","Rule Information"
"Rule Manager","Rule Manager"
"Reward Item Discount","Reward Item Discount"
"Customer Earn Points","Customer Earn Points"
"Customer Spend Points","Customer Spend Points"
"Offer Discount","Offer Discount"
"Update prices using the following information","Update prices using the following information"
"Discount Type","Discount Type"
"By Fixed Amount","By Fixed Amount"
"To Fixed Amount","To Fixed Amount"
"By Percentage of the original price","By Percentage of the original price"
"To Percentage of the original price","To Percentage of the original price"
"select the type to discount","select the type to discount"
"Discount Amount","Discount Amount"
"Discount received for every X points in tab Conditions","Discount received for every X points in tab Conditions"
"Uses Allowed Per Product","Uses Allowed Per Product"
"Spending Points Action","Spending Points Action"
"Spend X points","Spend X points"
"Spend X points for every Y amount of Price","Spend X points for every Y amount of Price"
"select the type to spend points","select the type to spend points"
"Max points can be spent by this rule","Max points can be spent by this rule"
"Catalog Spending Rule Information","Catalog Spending Rule Information"
"Catalog Spending Rule Manager","Catalog Spending Rule Manager"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"Percentage amount discount for whole cart","Percentage amount discount for whole cart"
"value for each X points in tab conditions","value for each X points in tab conditions"
"Spending Points","Spending Points"
"Give discount for fixed X points","Give discount for fixed X points"
"Give discount for every X points","Give discount for every X points"
"Shopping Cart Spending Rule Information","Shopping Cart Spending Rule Information"
"Shopping Cart Spending Rule Manager","Shopping Cart Spending Rule Manager"
"Reset all transactions","Reset all transactions"
"Transaction information","Transaction information"
"Store View","Store View"
"Note","Note"
"Transaction","Transaction"
"Expired Offer.","Expired Offer."
"discount","discount"
"Reward","Reward"
"coupon","coupon"
"special friends only offer","special friends only offer"
"Get %s %s at the %s","Get %s %s at the %s"
"Get %s %s when purchase using this %s.","Get %s %s when purchase using this %s."
"%s up to %.0f%% for each order at %s","%s up to %.0f%% for each order at %s"
"Get %s as %.0f%% when purchase using this %s.","Get %s as %.0f%% when purchase using this %s."
" This %s is only valid until %s"," This %s is only valid until %s"
"reward","reward"
"link","link"
"Earn Points","Earn Points"
"Spend Points","Spend Points"
"My Account","My Account"
"My Rewards %s %s","My Rewards %s %s"
"More information","More information"
"Cannot find the instance for this action.","Cannot find the instance for this action."
"Zero amount!","Zero amount!"
"Coupon code was canceled.","Coupon code was canceled."
"Coupon code ","Coupon code "
"Initialize the points balance in the system","Initialize the points balance in the system"
"Signup newsletter","Signup newsletter"
"Review product","Review product"
"Participate in poll","Participate in poll"
"Tag product","Tag product"
"Spend for order","Spend for order"
"Spend for order!","Spend for order!"
"Refund from purchased order","Refund from purchased order"
"Refund for order","Refund for order"
"Items Discount","Items Discount"
"Change by admin","Change by admin"
"Name: %s","Name: %s"
"Start at: %s","Start at: %s"
"Expire at: %s","Expire at: %s"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Order Attribute","Cart Order Attribute"
"Subtotal","Subtotal"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Payment Method","Payment Method"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shipping Country","Shipping Country"
"Description: %s","Description: %s"
"Offer Discount:","Offer Discount:"
"Not enough point to use full catalog rules","Not enough point to use full catalog rules"
"Not enough points to spend","Not enough points to spend"
"Rules Manager","Rules Manager"
"Customer reward","Customer reward"
"Manage customer behavior earning rule","Manage customer behavior earning rule"
"The configuration has been saved.","The configuration has been saved."
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"Manage catalog earning rule","Manage catalog earning rule"
"Manage rule","Manage rule"
"New rule","New rule"
"Rule News","Rule News"
"Item does not exist","Item does not exist"
"Rule was successfully saved","Rule was successfully saved"
"Unable to find item to save","Unable to find item to save"
